Id,Player,Height,Weight
anderda02,Dan Anderson,188,83
anderde01,Derek Anderson,196,87
anderdw01,Dwight Anderson,190,83
anderer01,Eric Anderson,206,99
andergr01,Greg Anderson,208,104
anderjj01,J.J. Anderson,203,88
anderja01,James Anderson,198,96
anderje01,Jerome Anderson,196,88
anderju01,Justin Anderson,198,104
anderke01,Kenny Anderson,183,76
anderki01,Kim Anderson,201,90
anderky01,Kyle Anderson,206,104
andermi01,Michael Anderson,180,83
anderni01,Nick Anderson,198,92
anderri01,Richard Anderson,208,108
anderro01,Ron Anderson,201,97
anderry01,Ryan Anderson,206,108
andersh01,Shandon Anderson,198,94
anderwi01,Willie Anderson,201,86
anderwa01,Wally Anderzunas,201,99
andrima01,Martynas Andriuškevičius,218,108
anieldo01,Don Anielak,201,86
anigbik01,Ike Anigbogu,208,113
anslemi01,Michael Ansley,201,102
anstech01,Chris Anstey,213,112
antetgi01,Giannis Antetokounmpo,211,109
antetko01,Kostas Antetokounmpo,208,90
antetth01,Thanasis Antetokounmpo,198,99
anthoca01,Carmelo Anthony,201,107
anthoco01,Cole Anthony,188,83
anthogr01,Greg Anthony,183,79
anthojo01,Joel Anthony,206,111
anticpe01,Pero Antić,211,117
anunoog01,OG Anunoby,201,105
applike01,Keith Appling,185,83
araujra01,Rafael Araújo,211,127
arcenst01,Stacey Arceneaux,193,95
archiro01,Robert Archibald,211,113
architi01,Tiny Archibald,185,68
arcidry01,Ryan Arcidiacono,190,88
ardji01,Jim Ard,203,97
arenagi01,Gilbert Arenas,193,86
arizatr01,Trevor Ariza,203,97
arizipa01,Paul Arizin,193,86
arlaujo01,Joe Arlauckas,206,104
armstbj01,B.J. Armstrong,188,79
armstbo01,Bob Armstrong,203,99
armstbr01,Brandon Armstrong,196,85
armstcu01,Curly Armstrong,180,77
armstda01,Darrell Armstrong,183,77
armsthi01,Hilton Armstrong,211,106
armstta01,Tate Armstrong,190,79
arnelje01,Jesse Arnelle,196,99
arnetja01,Jay Arnette,188,79
arnzebo01,Bob Arnzen,196,92
arroyca01,Carlos Arroyo,188,91
arthuda01,Darrell Arthur,206,106
arthujo01,John Arthurs,193,83
artisja01,Jamel Artis,201,96
asikom01,Ömer Aşık,213,115
askewvi01,Vincent Askew,198,95
askinke01,Keith Askins,201,89
asmondo01,Don Asmonga,188,83
athadi01,Dick Atha,188,86
atkinch01,Chucky Atkins,180,72
attleal01,Al Attles,183,79
aubucch01,Chet Aubuchon,178,62
augmost01,Stacey Augmon,203,92
augusdj01,D.J. Augustin,180,83
augusja01,James Augustine,208,106
austiis01,Isaac Austin,208,115
austijo01,Johnny Austin,183,77
austike01,Ken Austin,206,92
avdijde01,Deni Avdija,206,95
aventan01,Anthony Avent,206,106
averibi01,Bird Averitt,185,77
averywi01,William Avery,188,89
awtrede01,Dennis Awtrey,208,106
ayayijo01,Joel Ayayi,196,81
ayongu01,Gustavo Ayón,208,113
pendeje02,Jeff Ayres,206,108
aytonde01,Deandre Ayton,211,113
azubuke01,Kelenna Azubuike,196,99
azubuud01,Udoka Azubuike,208,127
babbch01,Chris Babb,196,102
babbilu01,Luke Babbitt,206,102
babicmi01,Miloš Babić,213,108
bachjo01,Johnny Bach,188,81
bacondw01,Dwayne Bacon,198,100
baconhe01,Henry Bacon,190,92
baechji01,Jim Baechtold,193,92
bagarda01,Dalibor Bagarić,216,115
baglejo01,John Bagley,183,83
baglema01,Marvin Bagley III,211,106
baileca01,Carl Bailey,213,95
bailegu01,Gus Bailey,196,83
baileja01,James Bailey,206,99
baileth01,Thurl Bailey,211,97
baileto01,Toby Bailey,198,96
bairsca01,Cameron Bairstow,206,113
bakerji01,Jimmie Baker,206,99
bakerla01,Mark Baker,185,79
bakerma01,Maurice Baker,185,79
bakerno01,Norm Baker,183,81
bakerro01,Ron Baker,193,99
bakervi01,Vin Baker,211,105
baldwwa01,Wade Baldwin,193,90
balkmre01,Renaldo Balkman,203,94
ballce01,Cedric Ball,203,95
ballla01,LaMelo Ball,201,81
balllo01,Lonzo Ball,198,86
ballagr01,Greg Ballard,201,97
baltihe01,Herschel Baltimore,193,88
bambamo01,Mo Bamba,213,104
banede01,Desmond Bane,196,97
banksge01,Gene Banks,201,97
banksma01,Marcus Banks,188,90
bankswa01,Walker Banks,208,92
bannike01,Ken Bannister,206,106
bantomi01,Mike Bantom,206,90
bantoda01,Dalano Banton,206,92
barbeca01,Cat Barber,188,86
barbejo01,John Barber,198,95
barbole01,Leandro Barbosa,190,87
bardost01,Steve Bardo,196,86
bareajo01,J.J. Barea,178,81
bargnan01,Andrea Bargnani,213,111
barkecl01,Cliff Barker,188,83
barketo01,Tom Barker,211,102
barklch01,Charles Barkley,198,114
barkler01,Erick Barkley,185,80
barksdo01,Don Barksdale,198,90
barneha02,Harrison Barnes,203,102
barneha01,Harry Barnes,190,92
barneji01,Jim Barnes,203,95
barnema01,Marvin Barnes,203,95
barnema02,Matt Barnes,201,102
barnesc01,Scottie Barnes,206,102
barnedi01,Dick Barnett,193,86
barneji02,Jim Barnett,193,77
barnena01,Nathaniel Barnett,190,79
barnhjo01,John Barnhill,185,81
barnhno01,Norton Barnhill,193,92
barnhle01,Leo Barnhorst,193,86
barrjo01,John Barr,190,92
barrmi01,Mike Barr,190,81
barrmo01,Moe Barr,193,88
barrean01,Andre Barrett,178,78
barreer01,Ernie Barrett,190,81
barremi01,Mike Barrett,188,70
barrerj01,RJ Barrett,198,97
barroea01,Earl Barron,213,113
barroda01,Dana Barros,180,73
barrybr01,Brent Barry,198,83
barrydr01,Drew Barry,196,86
barryjo01,Jon Barry,193,88
barryri01,Rick Barry,201,92
barteed01,Ed Bartels,196,88
bartovi01,Vic Bartolome,213,104
bartowi01,Will Barton,198,82
basdeed01,Eddie Basden,196,97
baskeje01,Jerry Baskerville,201,86
bassbr01,Brandon Bass,203,113
basspa01,Paris Bass,203,90
basseti01,Tim Bassett,203,102
bassech01,Charles Bassey,211,106
bastoma01,Maceo Baston,206,97
bateeme01,Mengke Bateer,211,131
batesbi01,Billy Ray Bates,193,95
bateske01,Keita Bates-Diop,203,103
batises01,Esteban Batista,208,122
batismi01,Mike Batiste,203,102
battito01,Tony Battie,211,104
battish01,Shane Battier,203,99
battljo01,John Battle,188,79
battlke01,Kenny Battle,198,95
battoda01,Dave Batton,208,108
battsll01,Lloyd Batts,193,83
batumni01,Nicolas Batum,203,104
baumjo01,Johnny Baum,196,90
baumhfr01,Frankie Baumholtz,178,77
baxtelo01,Lonny Baxter,203,117
bayleje01,Jerryd Bayless,190,90
bayloel01,Elgin Baylor,196,102
bayneho01,Howard Bayne,198,106
baynear01,Aron Baynes,208,117
bazarse01,Sergei Bazarevich,188,76
bazemke01,Kent Bazemore,193,88
bazleda01,Darius Bazley,203,94
